 ,Individual_Match No,Player,Team,Opp_Team,RH/LH,Match_Type,Ground,Role,Runs,Wickets,Dream11_ Points,Dismissal
1,M1,MS Dhoni,CSK,MI,RH,Chasing,Sheikh Zayed,WK,0,,20,NO
1,M1,Watson,CSK,MI,RH,Chasing,Sheikh Zayed,BAT,4,,17,LBW
1,M1,Rayudu,CSK,MI,RH,Chasing,Sheikh Zayed,BAT,71,,95,CAUGHT
1,M1,Du Plesis,CSK,MI,RH,Chasing,Sheikh Zayed,BAT,58,,100,NO
1,M1,Vijay,CSK,MI,RH,Chasing,Sheikh Zayed,BAT,1,,5,LBW
1,M1,Jadeja,CSK,MI,LH,Chasing,Sheikh Zayed,ALL,10,2,62,LBW
1,M1,Sam Curran,CSK,MI,LH,Chasing,Sheikh Zayed,ALL,18,1,68,CAUGHT
1,M1,Piyush Chawla,CSK,MI,LH,Chasing,Sheikh Zayed,BALL,,1,31,
1,M1,Deepak Chahar,CSK,MI,RH,Chasing,Sheikh Zayed,BALL,,2,54,
1,M1,Ngidi,CSK,MI,RH,Chasing,Sheikh Zayed,BALL,,3,77,
1,M1,Jadhav,CSK,MI,RH,Chasing,Sheikh Zayed,BAT,,,4,
1,M1,Rohit Sharma,MI,CSK,RH,Defending,Sheikh Zayed,BAT,12,,18,CAUGHT
1,M1,De Kock,MI,CSK,LH,Defending,Sheikh Zayed,WK,33,,42,CAUGHT
1,M1,S.Yadav,MI,CSK,RH,Defending,Sheikh Zayed,BAT,17,,23,CAUGHT
1,M1,Saurabh Tiwary,MI,CSK,LH,Defending,Sheikh Zayed,BAT,42,,51,CAUGHT
1,M1,Hardik Pandya,MI,CSK,RH,Defending,Sheikh Zayed,ALL,14,,22,CAUGHT
1,M1,Kieron Pollard,MI,CSK,RH,Defending,Sheikh Zayed,ALL,18,,25,CAUGHT
1,M1,Krunal Pandya,MI,CSK,LH,Defending,Sheikh Zayed,ALL,3,1,30,CAUGHT
1,M1,Pattinson,MI,CSK,RH,Defending,Sheikh Zayed,BALL,11,1,50,CAUGHT
1,M1,Rahul Chahar,MI,CSK,RH,Defending,Sheikh Zayed,BALL,2,1,37,NO
1,M1,Boult,MI,CSK,LH,Defending,Sheikh Zayed,BALL,0,1,29,BOLD
1,M1,Bumrah,MI,CSK,RH,Defending,Sheikh Zayed,BALL,5,1,30,NO
2,M1,P.Shaw,DC,KXIP,RH,Defending,Dubai,BAT,5,,26,CAUGHT
2,M1,Shikhar Dhawan,DC,KXIP,LH,Defending,Dubai,BAT,0,,2,RUNOUT
2,M1,Hetmeyer,DC,KXIP,LH,Defending,Dubai,BAT,7,,16,CAUGHT
2,M1,Shreyas Iyer,DC,KXIP,RH,Defending,Dubai,BAT,39,,57,CAUGHT
2,M1,Rishabh Pant,DC,KXIP,LH,Defending,Dubai,WK,31,,47,BOLD
2,M1,Marcus Stoinis,DC,KXIP,RH,Defending,Dubai,ALL,53,2,126,RUNOUT
