Player,Team,AGE,Role,Special Feature,Match_1,Match_2,Match_3,Match_4,Match_5,Match_6,Match_7,Match_8,Match_9,Match_10,Match_11,Match_12,Match_13,Match_14
MS Dhoni,CSK,39,BAT/WK,MO,20,47,41,71,12,54,32,29,7,50,24,26,5,12
Watson,CSK,39,BAT,TO,17,46,21,5,112,78,21,53,46,14,DNP,DNP,21,DNP
Rayudu,CSK,34,BAT,TO,95,DNP,DNP,19,12,37,50,52,66,17,6,50,57,36
Du Plesis,CSK,36,BAT,MO,100,107,51,38,112,40,20,2,96,15,5,51,DNP,60
Vijay,CSK,36,BAT,TO,5,28,13,DNP,DNP,DNP ,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Jadeja,CSK,31,ALL,MO,62,3,13,71,37,44,18,75,45,43,12,4,76,31
Sam Curran,CSK,22,ALL,MO,68,101,30,25,8,74,21,77,35,29,72,79,26,4
Piyush Chawla,CSK,31,BALL,TE,31,23,54,29,25,DNP,DNP,4,DNP,0,DNP,DNP,DNP,DNP
Deepak Chahar,CSK,28,BALL,TE,54,45,2,54,6,-2,40,6,74,66,4,54,0,2
Ngidi,CSK,24,BALL,TE,77,23,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,54,77
Jadhav,CSK,35,BAT,MO,4,43,33,1,4,8,DNP,DNP,4,8,DNP,DNP,DNP,DNP
Rituraj Gaikwad,CSK,23,BAT,MO,DNP,8,2,DNP,DNP,DNP,DNP,DNP,DNP,DNP,2,103,102,90
Josh Hazlewood,CSK,29,BALL,TE,DNP,DNP,4,DNP,DNP,DNP,DNP,DNP,DNP,33,4,DNP,DNP,DNP
Shardul Thakur,CSK,28,BALL,TE,DNP,DNP,DNP,29,52,62,53,39,27,4,9,DNP,DNP,29
DJ Bravo,CSK,36,ALL,MO,DNP,DNP,DNP,4,2,77,9,72,29,DNP,DNP,DNP,DNP,DNP
Karn Sharma,CSK,33,BALL,TE,DNP,DNP,DNP,DNP,DNP,54,4,52,-2,DNP,DNP,DNP,29,DNP
Jagadeesan,CSK,25,WK,MO,DNP,DNP,DNP,DNP,DNP,DNP,41,DNP,DNP,DNP,2,4,4,4
Mitchell Santner,CSK,28,ALL,MO,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,39,27,DNP
Rohit Sharma,MI,33,BAT,TO,18,107,22,96,20,63,3,46,23,DNP,DNP,DNP,DNP,8
De Kock,MI,27,BAT/WK,TO,42,33,19,10,99,56,75,121,80,95,12,36,60,35
S.Yadav,MI,30,BAT,TO,23,59,2,32,37,106,79,23,2,20,50,115,25,45
Ishan Kishan,MI,22,BAT/WK,MO,DNP,DNP,131,35,48,2,38,4,12,96,47,34,98,42
S.Tiwary,MI,30,BAT,MO,51,28,DNP,DNP,DNP,DNP,DNP,DNP,DNP,4,44,17,4,5
Hardik Pandya,MI,26,ALL,MO,22,50,21,41,46,46,2,30,14,4,88,25,DNP,DNP
Kieron Pollard,MI,33,ALL,MO,25,51,101,62,43,36,16,12,47,4,18,34,4,55
Krunal Pandya,MI,29,ALL,MO,30,5,4,29,55,14,76,6,46,14,5,15,24,-4
Pattinson,MI,30,BALL,TE,50,54,-2,54,54,56,-2,DNP,DNP,DNP,48,6,DNP,6
Rahul Chahar,MI,21,BALL,TE,37,54,29,54,12,29,10,58,54,56,-2,33,31,2
